hello what are doing today ? <eos>	i am good , i just got off work and tired , i have two jobs .
hello , how are you doing ? <eos> i love spending time with my family <eos> that is great , me too ! i am married and my husband and i have 2 children . <eos> so then have you ever been to disneyland ? <eos> no , we recently purchased a new house , so we cannot afford it . have you ? <eos> yes i love mickey mouse such a cute little rat <eos> i enjoy going to concerts , i see the rolling stones every year . <eos> man your lucky i am a baby delivery nurse and the pay sucks <eos> maybe you should consider going back to school . i did . i major in economics . <eos> i have to walk 3 miles to work to save money everyday what do you do ? <eos> i mostly eat a fresh and raw diet , so i save on groceries . <eos> your economic skills are amazing <eos> thank you very much ! i am sure you are a great nurse . <eos>	i am a ok nurse i have dripped some babies though but i am getting better
hi how are you doing ? i am okay how about you ? <eos>	i am doing good . just sipping tea . what do you do for work ?
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos>	i used to do home health aide but now i am disabled .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos>	i am sorry to hear that . what happened
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos>	i graduated and got my license worked a while and became i will .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos>	so what do you do now for fun ? i like to read .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos> so what do you do now for fun ? i like to read . <eos>	i have dogs and i walk them . and a cat .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos> so what do you do now for fun ? i like to read . <eos> i have dogs and i walk them . and a cat . <eos>	what kind of dogs do you have ?
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos> so what do you do now for fun ? i like to read . <eos> i have dogs and i walk them . and a cat . <eos> what kind of dogs do you have ? <eos>	i enjoy reading read about michael jackson and psychology today .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos> so what do you do now for fun ? i like to read . <eos> i have dogs and i walk them . and a cat . <eos> what kind of dogs do you have ? <eos> i enjoy reading read about michael jackson and psychology today . <eos>	i love reading . i have a big library at my house .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos> so what do you do now for fun ? i like to read . <eos> i have dogs and i walk them . and a cat . <eos> what kind of dogs do you have ? <eos> i enjoy reading read about michael jackson and psychology today . <eos> i love reading . i have a big library at my house . <eos>	that is very nice i love to read to and read about journals .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos> so what do you do now for fun ? i like to read . <eos> i have dogs and i walk them . and a cat . <eos> what kind of dogs do you have ? <eos> i enjoy reading read about michael jackson and psychology today . <eos> i love reading . i have a big library at my house . <eos> that is very nice i love to read to and read about journals . <eos>	i have a tough time hearing so reading is my happy place .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos> so what do you do now for fun ? i like to read . <eos> i have dogs and i walk them . and a cat . <eos> what kind of dogs do you have ? <eos> i enjoy reading read about michael jackson and psychology today . <eos> i love reading . i have a big library at my house . <eos> that is very nice i love to read to and read about journals . <eos> i have a tough time hearing so reading is my happy place . <eos>	cool that is okay . my mom was very tough on me .
hi how are you doing ? i am okay how about you ? <eos> i am doing good . just sipping tea . what do you do for work ? <eos> i used to do home health aide but now i am disabled . <eos> i am sorry to hear that . what happened <eos> i graduated and got my license worked a while and became i will . <eos> so what do you do now for fun ? i like to read . <eos> i have dogs and i walk them . and a cat . <eos> what kind of dogs do you have ? <eos> i enjoy reading read about michael jackson and psychology today . <eos> i love reading . i have a big library at my house . <eos> that is very nice i love to read to and read about journals . <eos> i have a tough time hearing so reading is my happy place . <eos> cool that is okay . my mom was very tough on me . <eos>	i work as a hearing impaired museum tour guide .
hi i dye my hair 4 times a year <eos>	do you live in the sky ? i do . in the clouds .
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos>	no i do not , i have a dream , it is to work from home
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos>	i make time stop . i have a superpower . i am a super hero .
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos>	that is really cool that you can do that
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos>	i love living in the clouds the best . do you have powers ?
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos> i love living in the clouds the best . do you have powers ? <eos>	no i do not , i faint when i see blood
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos> i love living in the clouds the best . do you have powers ? <eos> no i do not , i faint when i see blood <eos>	i do not like blood . i vomit .
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos> i love living in the clouds the best . do you have powers ? <eos> no i do not , i faint when i see blood <eos> i do not like blood . i vomit . <eos>	i went to school to be a vet , but i did not like it
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos> i love living in the clouds the best . do you have powers ? <eos> no i do not , i faint when i see blood <eos> i do not like blood . i vomit . <eos> i went to school to be a vet , but i did not like it <eos>	i want to be a teacher when i grow up
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos> i love living in the clouds the best . do you have powers ? <eos> no i do not , i faint when i see blood <eos> i do not like blood . i vomit . <eos> i went to school to be a vet , but i did not like it <eos> i want to be a teacher when i grow up <eos>	what is your name ? are you a male or female ?
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos> i love living in the clouds the best . do you have powers ? <eos> no i do not , i faint when i see blood <eos> i do not like blood . i vomit . <eos> i went to school to be a vet , but i did not like it <eos> i want to be a teacher when i grow up <eos> what is your name ? are you a male or female ? <eos>	i am a girl . i do not give out my name .
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos> i love living in the clouds the best . do you have powers ? <eos> no i do not , i faint when i see blood <eos> i do not like blood . i vomit . <eos> i went to school to be a vet , but i did not like it <eos> i want to be a teacher when i grow up <eos> what is your name ? are you a male or female ? <eos> i am a girl . i do not give out my name . <eos>	i think a teacher is to tough
hi i dye my hair 4 times a year <eos> do you live in the sky ? i do . in the clouds . <eos> no i do not , i have a dream , it is to work from home <eos> i make time stop . i have a superpower . i am a super hero . <eos> that is really cool that you can do that <eos> i love living in the clouds the best . do you have powers ? <eos> no i do not , i faint when i see blood <eos> i do not like blood . i vomit . <eos> i went to school to be a vet , but i did not like it <eos> i want to be a teacher when i grow up <eos> what is your name ? are you a male or female ? <eos> i am a girl . i do not give out my name . <eos> i think a teacher is to tough <eos>	i like science and art .
hi ! do you like turtles ? <eos>	i am much more of a cat person actually
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos>	i have a turtle his name is speedy . kitties are nice too , tho !
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos>	that is an adorable name for a turtle . i have 2 cats
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos>	what are your kitties names ?
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos>	snow and winter , named after my favorite season
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos> snow and winter , named after my favorite season <eos>	i like that ! i go to preschool .
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos> snow and winter , named after my favorite season <eos> i like that ! i go to preschool . <eos>	oh you are so young !
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos> snow and winter , named after my favorite season <eos> i like that ! i go to preschool . <eos> oh you are so young ! <eos>	how old are you ? i turned four on my birthday !
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos> snow and winter , named after my favorite season <eos> i like that ! i go to preschool . <eos> oh you are so young ! <eos> how old are you ? i turned four on my birthday ! <eos>	i am an old woman . i won a gold medal in 1992
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos> snow and winter , named after my favorite season <eos> i like that ! i go to preschool . <eos> oh you are so young ! <eos> how old are you ? i turned four on my birthday ! <eos> i am an old woman . i won a gold medal in 1992 <eos>	wow ! ! you won gold ! are you rich ?
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos> snow and winter , named after my favorite season <eos> i like that ! i go to preschool . <eos> oh you are so young ! <eos> how old are you ? i turned four on my birthday ! <eos> i am an old woman . i won a gold medal in 1992 <eos> wow ! ! you won gold ! are you rich ? <eos>	no . i spend all of my money on hats ! i own over a thousand
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos> snow and winter , named after my favorite season <eos> i like that ! i go to preschool . <eos> oh you are so young ! <eos> how old are you ? i turned four on my birthday ! <eos> i am an old woman . i won a gold medal in 1992 <eos> wow ! ! you won gold ! are you rich ? <eos> no . i spend all of my money on hats ! i own over a thousand <eos>	i like hats too ! but , my favorite thing to do is play with my dollies .
hi ! do you like turtles ? <eos> i am much more of a cat person actually <eos> i have a turtle his name is speedy . kitties are nice too , tho ! <eos> that is an adorable name for a turtle . i have 2 cats <eos> what are your kitties names ? <eos> snow and winter , named after my favorite season <eos> i like that ! i go to preschool . <eos> oh you are so young ! <eos> how old are you ? i turned four on my birthday ! <eos> i am an old woman . i won a gold medal in 1992 <eos> wow ! ! you won gold ! are you rich ? <eos> no . i spend all of my money on hats ! i own over a thousand <eos> i like hats too ! but , my favorite thing to do is play with my dollies . <eos>	that is great . do you have a lot ?
hello , how are you tonight ? do you have pink and blue hair ? <eos>	hi , i am doing pretty good these evening
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos>	what do you like to do in your spare time ? i bird watch .
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos>	i actually have purple hair and i love it and enjoy watching war documentaries
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos>	those are fun . i have a cat , do you ?
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos>	i have a bird and she loves cheeseburgers like me , my favorite
hello , how are you tonight ? do you have pink and blue hair ? <eos> hi , i am doing pretty good these evening <eos> what do you like to do in your spare time ? i bird watch . <eos> i actually have purple hair and i love it and enjoy watching war documentaries <eos> those are fun . i have a cat , do you ? <eos> i have a bird and she loves cheeseburgers like me , my favorite <eos>	is that healthy for birds ?
